code,name,source_a_count,source_b_count,merged_count,fix_from,price_mismatch,quality_issues
688616,西力科技,1244,1244,1244,TDX+BaoStock,5,0
688617,惠泰医疗,1289,1289,1289,TDX+BaoStock,2,0
688618,三旺通信,1292,1292,1292,TDX+BaoStock,5,0
688619,罗普特,1261,1261,1261,TDX+BaoStock,0,0
688620,安凯微,693,693,693,TDX+BaoStock,0,0
688621,阳光诺和,1163,1182,1182,TDX+BaoStock,1,0
688622,*ST禾信,1112,1122,1122,TDX+BaoStock,0,0
688623,双元科技,704,704,704,TDX+BaoStock,2,0
688625,呈和科技,1191,1191,1191,TDX+BaoStock,6,0
688626,翔宇医疗,1235,1235,1235,TDX+BaoStock,4,0
688627,精智达,678,678,678,TDX+BaoStock,0,0
688628,优利德,1272,1272,1272,TDX+BaoStock,7,0
688629,华丰科技,693,693,693,TDX+BaoStock,0,0
688630,芯碁微装,1234,1234,1234,TDX+BaoStock,2,0
688631,莱斯信息,692,692,692,TDX+BaoStock,0,0
688633,星球石墨,1240,0,1240,TDX,0,0
688636,智明达,1230,0,1230,TDX,0,0
688638,誉辰智能,682,0,682,TDX,0,0
688639,华恒生物,1220,0,1220,TDX,0,0
688646,ST逸飞,669,0,669,TDX,0,0
688648,中邮科技,600,0,600,TDX,0,0
688651,盛邦安全,672,0,672,TDX,0,0
688652,京仪装备,588,0,588,TDX,0,0
688653,康希通信,596,0,596,TDX,0,0
688655,迅捷兴,1201,0,1201,TDX,0,0
688722,同益中,1103,1103,1103,TDX+BaoStock,2,0
688726,拉普拉斯,369,369,369,TDX+BaoStock,0,0
688727,恒坤新材,112,112,112,TDX+BaoStock,0,0
688728,格科微,1140,1140,1140,TDX+BaoStock,0,0
688729,屹唐股份,201,201,201,TDX+BaoStock,0,0
688733,壹石通,1141,1141,1141,TDX+BaoStock,2,0
688737,中自科技,1100,1100,1100,TDX+BaoStock,1,0
688739,成大生物,1093,1096,1096,TDX+BaoStock,4,0
688750,金天钛业,353,353,353,TDX+BaoStock,0,0
688755,汉邦科技,237,237,237,TDX+BaoStock,0,0
688757,胜科纳米,271,271,271,TDX+BaoStock,0,0
688758,赛分科技,317,317,317,TDX+BaoStock,0,0
688759,必贝特,127,127,127,TDX+BaoStock,0,0
688765,禾元生物,127,127,127,TDX+BaoStock,0,0
688766,普冉股份,1127,1137,1137,TDX+BaoStock,4,0
688767,博拓生物,1125,1125,1125,TDX+BaoStock,5,0
688768,容知日新,1157,1157,1157,TDX+BaoStock,2,0
688772,珠海冠宇,1105,1105,1105,TDX+BaoStock,2,0
688775,影石创新,220,220,220,TDX+BaoStock,0,0
688776,国光电气,1131,1131,1131,TDX+BaoStock,1,0
688777,中控技术,1292,1292,1292,TDX+BaoStock,3,0
688778,厦钨新能,1149,1149,1149,TDX+BaoStock,3,0
688779,五矿新能,1145,1145,1145,TDX+BaoStock,1,0
688781,视涯科技,29,29,29,TDX+BaoStock,0,0
688783,西安奕材,127,127,127,TDX+BaoStock,0,0
688785,恒运昌,63,63,63,TDX+BaoStock,0,0
688786,悦安新材,1134,1134,1134,TDX+BaoStock,4,0
688787,海天瑞声,1143,1143,1143,TDX+BaoStock,1,0
688788,科思科技,1292,1292,1292,TDX+BaoStock,2,0
688789,宏华数科,1169,1169,1169,TDX+BaoStock,3,0
688790,昂瑞微,92,92,92,TDX+BaoStock,0,0
688793,倍轻松,1164,1164,1164,TDX+BaoStock,2,0
688795,摩尔线程,99,99,99,TDX+BaoStock,0,0
688796,百奥赛图,96,96,96,TDX+BaoStock,0,0
688798,艾为电子,1142,1142,1142,TDX+BaoStock,1,0
