sell_date,sell_price,return_pct,max_return_pct,sell_type,d0_vol_ratio,d0_upper_shadow,d1_gap,buy_date,code,board,board_type,n_limit
2025-10-16 00:00:00,3.13,-8.48,0.88,stop_loss,5.01,0.0,-1.72,2025-09-23 00:00:00,000509,深主板,main,2
2026-03-12 00:00:00,3.9,6.85,13.7,trailing_stop,3.88,0.0,0.55,2026-03-06 00:00:00,000509,深主板,main,2
2025-08-20 00:00:00,5.54,6.13,13.03,trailing_stop,7.91,0.0,-1.88,2025-08-08 00:00:00,000510,深主板,main,2
2025-07-28 00:00:00,42.14,0.21,6.71,trailing_stop,3.15,0.0,-0.99,2025-07-17 00:00:00,000513,深主板,main,2
2024-09-27 00:00:00,4.14,18.29,24.57,take_profit,2.2,0.0,-5.66,2024-09-23 00:00:00,000514,深主板,main,2
2026-03-16 00:00:00,5.14,2.8,10.6,trailing_stop,2.65,0.0,-0.2,2026-03-09 00:00:00,000516,深主板,main,2
2024-04-10 00:00:00,1.86,-10.58,0.0,stop_loss,3.33,0.0,-2.35,2024-03-13 00:00:00,000517,深主板,main,2
2026-02-12 00:00:00,2.25,11.39,19.31,trailing_stop,2.88,0.0,-0.98,2026-02-05 00:00:00,000517,深主板,main,2
2024-04-08 00:00:00,2.41,-11.4,3.31,stop_loss,2.33,0.0,0.0,2024-03-18 00:00:00,000518,深主板,main,2
2024-08-14 00:00:00,2.17,0.46,8.33,trailing_stop,2.88,0.0,1.41,2024-08-02 00:00:00,000518,深主板,main,2
2024-10-28 00:00:00,2.95,15.23,15.23,take_profit,2.19,0.0,0.0,2024-10-25 00:00:00,000518,深主板,main,2
2024-12-13 00:00:00,3.42,-10.0,0.0,stop_loss,2.21,0.0,1.06,2024-12-10 00:00:00,000518,深主板,main,2
2025-04-02 00:00:00,2.56,4.49,17.55,trailing_stop,7.65,0.0,-1.61,2025-03-31 00:00:00,000518,深主板,main,2
2024-06-17 00:00:00,14.965,0.13,6.62,trailing_stop,4.75,0.0,0.27,2024-06-06 00:00:00,000519,深主板,main,2
2024-11-15 00:00:00,15.03,-11.59,4.12,stop_loss,3.35,0.0,1.07,2024-10-29 00:00:00,000519,深主板,main,2
